time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,scored_line_sample
238.82,11,2,4,0.03461228056807686,4.009055548371081,1.3608520548480727,0.03434504379645801,4.010013058864714,1.3622649815020635,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010696987972272907,1
238.83,11,2,4,0.03461224476891811,4.009054669424489,1.360833863832867,0.03434504379645801,4.010013058864714,1.3622649815020635,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010695292398509243,1
238.84,11,2,4,0.03461219557009776,4.009053466818414,1.36079323963723,0.03440635410299527,4.009988943527172,1.3594429905471401,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010692974565843598,1
238.85,11,2,4,0.034612123001299455,4.009051804561034,1.3607365500661421,0.03440635410299527,4.009988943527172,1.3594429905471401,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010689815232380465,1
238.86,11,2,4,0.03461205223999597,4.009050065217505,1.3606777014551872,0.03446814839519752,4.009966843691075,1.359103548923363,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010686459076348959,1
238.87,11,2,4,0.03461204278042018,4.0090496529884865,1.360664512276994,0.03446814839519752,4.009966843691075,1.359103548923363,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010685592551975414,1
238.88,11,2,4,0.03461204584877198,4.009049537366617,1.3606615571919738,0.034530338818751956,4.009945738948109,1.3609610744618728,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010685293862007699,1
238.89,11,2,4,0.03461203670616575,4.009049394693709,1.3606650319798868,0.034530338818751956,4.009945738948109,1.3609610744618728,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.00106850510348149,1
238.9,11,2,4,0.03461202696070176,4.009049186745904,1.360671912411971,0.034329460722054034,4.007870339580746,1.359860453135882,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010684662291803677,1
238.91,11,2,4,0.034611987411903744,4.0090484254475935,1.3606512680715228,0.034329460722054034,4.007870339580746,1.359860453135882,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010683276746021868,1
238.92,11,2,4,0.03461195196966793,4.009047566612805,1.3606223165606208,0.03439346713023251,4.007838184836741,1.3641190322727192,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.001068162446543116,1
238.93,11,2,4,0.03461194842517279,4.009047480729351,1.3606194214112515,0.03439346713023251,4.007838184836741,1.3641190322727192,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010681459240070579,1
238.94,11,2,4,0.03461195148383478,4.009047365407059,1.3606164748838063,0.03445882313570496,4.0078120893459115,1.3599178963070742,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010681161340931006,1
238.95,11,2,4,0.03461185941452838,4.009045713632185,1.3605586211940999,0.03445882313570496,4.0078120893459115,1.3599178963070742,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010678216041871999,1
238.96,11,2,4,0.03461175790421689,4.0090432103350295,1.3604738337140985,0.03452512386532979,4.007788997840465,1.3600282308347167,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010673382579881607,1
238.97,11,2,4,0.034611739086048976,4.009042312310191,1.3604453327215416,0.03452512386532979,4.007788997840465,1.3600282308347167,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010671477489233303,1
238.98,11,2,4,0.034611739086048976,4.009042312310191,1.3604453327215416,0.03486393680934558,4.009319662482564,1.362711005408844,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010671477489233303,1
238.99,11,2,4,0.034611739086048976,4.009042312310191,1.3604453327215416,0.03486393680934558,4.009319662482564,1.362711005408844,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010671477489233303,1
